snapped_at,price,market_cap,total_volume
2024-07-13 00:00:00 UTC,0.107605078,15602333695,481155140.6
2024-07-14 00:00:00 UTC,0.112175344,16286335057,511037035.1
2024-07-15 00:00:00 UTC,0.11566282,16795164086,563795257.8
2024-07-16 00:00:00 UTC,0.125229647,18154704181,864205890.8
2024-07-17 00:00:00 UTC,0.125042309,18155790339,1001637169
2024-07-18 00:00:00 UTC,0.121818905,17718114213,737161135
2024-07-19 00:00:00 UTC,0.119466212,17350790526,728745558.7
2024-07-20 00:00:00 UTC,0.125457972,18216571578,786013598.8
2024-07-21 00:00:00 UTC,0.134532674,19532230329,1208802266
2024-07-22 00:00:00 UTC,0.14012079,20345296002,1336401338
2024-07-23 00:00:00 UTC,0.138049928,20039579761,1577710181
2024-07-24 00:00:00 UTC,0.130555412,18947849443,992568649.8
2024-07-25 00:00:00 UTC,0.128018804,18592905681,825645018.8
2024-07-26 00:00:00 UTC,0.125171486,18182583657,1042779687
2024-07-27 00:00:00 UTC,0.134347225,19514228665,872110973.3
2024-07-28 00:00:00 UTC,0.132074025,19196394168,1380975270
2024-07-29 00:00:00 UTC,0.130001586,18884811368,856046743.7
2024-07-30 00:00:00 UTC,0.128365921,18689191201,868804790.7
2024-07-31 00:00:00 UTC,0.125474222,18236805798,706235989.6
2024-08-01 00:00:00 UTC,0.122077325,17743396420,633251304.6
2024-08-02 00:00:00 UTC,0.119319845,17327999681,980601544.9
2024-08-03 00:00:00 UTC,0.111210288,16138782915,867228797.8
2024-08-04 00:00:00 UTC,0.10827565,15735849331,914188974.7
2024-08-05 00:00:00 UTC,0.103635971,15062196873,894909528.3
2024-08-06 00:00:00 UTC,0.094444224,13752269734,3554936021
2024-08-07 00:00:00 UTC,0.096301609,13994585100,1255131118
2024-08-08 00:00:00 UTC,0.095641839,13936513456,1047040603
2024-08-09 00:00:00 UTC,0.10744393,15570629384,913352532.3
2024-08-10 00:00:00 UTC,0.10396504,15071065216,615035196.2
2024-08-11 00:00:00 UTC,0.105173556,15292688340,391165146.1
2024-08-12 00:00:00 UTC,0.100570236,14628313028,727257294.1
2024-08-13 00:00:00 UTC,0.107646796,15683936511,844162997.1
2024-08-14 00:00:00 UTC,0.106468878,15490052395,624845265.9
2024-08-15 00:00:00 UTC,0.102529053,14917983430,594695369.6
2024-08-16 00:00:00 UTC,0.100275273,14586468896,646523390.9
2024-08-17 00:00:00 UTC,0.100332432,14597266804,587697638.1
2024-08-18 00:00:00 UTC,0.102699639,14951778483,334488342.1
2024-08-19 00:00:00 UTC,0.100091943,14571479334,402771975.8
2024-08-20 00:00:00 UTC,0.101595992,14739719717,501293737.8
2024-08-21 00:00:00 UTC,0.103064587,15003208996,764304812.4
2024-08-22 00:00:00 UTC,0.106083503,15440111511,553101594.1
2024-08-23 00:00:00 UTC,0.105350545,15343397391,442093664
2024-08-24 00:00:00 UTC,0.112852139,16475767151,1007674462
2024-08-25 00:00:00 UTC,0.112662814,16391141273,782083842.2
2024-08-26 00:00:00 UTC,0.109623195,15978378379,645373125.2
2024-08-27 00:00:00 UTC,0.10522276,15329123606,604946342.5
2024-08-28 00:00:00 UTC,0.098931519,14413120860,632679461.2
2024-08-29 00:00:00 UTC,0.099532208,14510058959,692363430
2024-08-30 00:00:00 UTC,0.100390607,14625375254,476454209.6
2024-08-31 00:00:00 UTC,0.102217209,14878559891,642358602.2
2024-09-01 00:00:00 UTC,0.101311419,14766759790,351544414.4
2024-09-02 00:00:00 UTC,0.095437793,13923088580,438687181.7
2024-09-03 00:00:00 UTC,0.099101487,14447496907,503843467.5
2024-09-04 00:00:00 UTC,0.096698258,14114883004,429042908.7
2024-09-05 00:00:00 UTC,0.098001649,14290796453,604205804
2024-09-06 00:00:00 UTC,0.098369959,14348233959,497704734.6
2024-09-07 00:00:00 UTC,0.092496053,13466500039,862381535.3
2024-09-08 00:00:00 UTC,0.095213158,13886824075,461330599.1
2024-09-09 00:00:00 UTC,0.095993958,14001965233,421886601.8
2024-09-10 00:00:00 UTC,0.103855102,15166857757,802105396.4
2024-09-11 00:00:00 UTC,0.10269898,14981206322,531704987.6
2024-09-12 00:00:00 UTC,0.101380587,14791824300,588369371
2024-09-13 00:00:00 UTC,0.102753648,15008873337,485785356.4
2024-09-14 00:00:00 UTC,0.107011154,15605057186,779036290.4
2024-09-15 00:00:00 UTC,0.105472897,15392503256,459831449.1
2024-09-16 00:00:00 UTC,0.102984251,15026207563,451757527.8
2024-09-17 00:00:00 UTC,0.099697338,14569234359,572532231.5
2024-09-18 00:00:00 UTC,0.101162584,14765475792,497557516.7
2024-09-19 00:00:00 UTC,0.103508981,15093679440,601892209.9
2024-09-20 00:00:00 UTC,0.105080305,15339835713,715304616.9
2024-09-21 00:00:00 UTC,0.105382267,15386106673,657876273.6
2024-09-22 00:00:00 UTC,0.110158632,16119101952,559439682.3
2024-09-23 00:00:00 UTC,0.10631578,15511905606,535697266.3
2024-09-24 00:00:00 UTC,0.108217537,15802862649,682781465.8
2024-09-25 00:00:00 UTC,0.109780516,16033328088,790392652.6
2024-09-26 00:00:00 UTC,0.108514233,15828058104,782002415
2024-09-27 00:00:00 UTC,0.118145141,17259884832,1535242940
2024-09-28 00:00:00 UTC,0.123822769,18086523908,1555101302
2024-09-29 00:00:00 UTC,0.128836404,18825075500,1706567907
2024-09-30 00:00:00 UTC,0.12475967,18237685843,980842375.1
2024-10-01 00:00:00 UTC,0.114093731,16668359316,1119199765
2024-10-02 00:00:00 UTC,0.107144908,15663199003,1476122208
2024-10-03 00:00:00 UTC,0.104656419,15293474640,949525284
2024-10-04 00:00:00 UTC,0.105032405,15341812913,972749810.1
2024-10-05 00:00:00 UTC,0.109288893,15967882267,764018435.2
2024-10-06 00:00:00 UTC,0.109555075,16014067343,451209519.6
2024-10-07 00:00:00 UTC,0.111432321,16300599147,510711345.9
2024-10-08 00:00:00 UTC,0.108889427,15928664981,987438812
2024-10-09 00:00:00 UTC,0.107114828,15680331562,698426563.4
2024-10-10 00:00:00 UTC,0.107940732,15802883227,725437336.6
2024-10-11 00:00:00 UTC,0.105952711,15492666166,676009910.8
2024-10-12 00:00:00 UTC,0.110759731,16205592120,608660396.4
2024-10-13 00:00:00 UTC,0.111387915,16295803425,471712432.5
2024-10-14 00:00:00 UTC,0.111338179,16284359144,501221749.1
2024-10-15 00:00:00 UTC,0.11654636,17054185513,1038482567
2024-10-16 00:00:00 UTC,0.117149736,17136054607,1448755420
2024-10-17 00:00:00 UTC,0.125689871,18366468454,2441500479
2024-10-18 00:00:00 UTC,0.129031888,18872749093,1610404036
2024-10-19 00:00:00 UTC,0.137382866,20117473887,2352278280
2024-10-20 00:00:00 UTC,0.144816838,21205835020,1943678427
2024-10-21 00:00:00 UTC,0.14179556,20743960128,1450399760
2024-10-22 00:00:00 UTC,0.143679384,21042404416,2135857423
2024-10-23 00:00:00 UTC,0.139506636,20427910912,1786553787
2024-10-24 00:00:00 UTC,0.139899877,20469081859,1492331849
2024-10-25 00:00:00 UTC,0.142123323,20800093125,1490511268
2024-10-26 00:00:00 UTC,0.130521668,19058280732,1555982997
2024-10-27 00:00:00 UTC,0.137438294,20129644552,1007254068
2024-10-28 00:00:00 UTC,0.14426417,21151514398,1185789527
2024-10-29 00:00:00 UTC,0.16107501,23603211884,3547034012
2024-10-30 00:00:00 UTC,0.176218399,25822005647,4328291560
2024-10-31 00:00:00 UTC,0.16841353,24707320750,2609541210
2024-11-01 00:00:00 UTC,0.161611574,23703025112,2433162762
2024-11-02 00:00:00 UTC,0.159292958,23336035424,2384334084
2024-11-03 00:00:00 UTC,0.159314427,23352486974,1497134114
2024-11-04 00:00:00 UTC,0.151972701,22296473359,2539631782
2024-11-05 00:00:00 UTC,0.15815151,23136432202,2934227323
2024-11-06 00:00:00 UTC,0.170163897,24951189159,4722717269
2024-11-07 00:00:00 UTC,0.196054473,28735301614,13964396581
2024-11-08 00:00:00 UTC,0.19318736,28332556747,5023759023
2024-11-09 00:00:00 UTC,0.202016153,29637362068,4762859227
2024-11-10 00:00:00 UTC,0.21781217,31981027590,5124130776
2024-11-11 00:00:00 UTC,0.277843965,40497543447,17922592739
2024-11-12 00:00:00 UTC,0.348134359,51066599516,23002869380
2024-11-13 00:00:00 UTC,0.386352049,56649929137,45647590496
2024-11-14 00:00:00 UTC,0.399476944,58769507338,33764060390
2024-11-15 00:00:00 UTC,0.362206397,52855654311,17394397998
2024-11-16 00:00:00 UTC,0.378310588,55541231337,14263596087
2024-11-17 00:00:00 UTC,0.36405554,53253558388,9205954824
2024-11-18 00:00:00 UTC,0.367076741,53890781808,9784068444
2024-11-19 00:00:00 UTC,0.372319345,54665315542,8956521463
2024-11-20 00:00:00 UTC,0.391557323,57498282425,15683020455
2024-11-21 00:00:00 UTC,0.378825994,55653383515,9823247879
2024-11-22 00:00:00 UTC,0.387505758,56919881493,9437714467
2024-11-23 00:00:00 UTC,0.410714961,60319726909,15763705369
2024-11-24 00:00:00 UTC,0.429588428,63045394020,24615656526
2024-11-25 00:00:00 UTC,0.429861391,63176287458,14194998723
2024-11-26 00:00:00 UTC,0.392787742,57583371938,10991675836
2024-11-27 00:00:00 UTC,0.385706069,56535824120,10352541749
2024-11-28 00:00:00 UTC,0.402105992,59099452114,7575329620
2024-11-29 00:00:00 UTC,0.402173834,59119897219,6881415592
2024-11-30 00:00:00 UTC,0.425898934,62510376388,7204905119
2024-12-01 00:00:00 UTC,0.421902666,62045544717,6694741286
2024-12-02 00:00:00 UTC,0.441087813,64771023381,8422395748
2024-12-03 00:00:00 UTC,0.424050458,62337140723,14905269533
2024-12-04 00:00:00 UTC,0.409146466,60140826095,8839146110
2024-12-05 00:00:00 UTC,0.429431963,63106207194,9655017662
2024-12-06 00:00:00 UTC,0.429131779,63027229179,18019186821
2024-12-07 00:00:00 UTC,0.435694297,64021771536,7529153953
2024-12-08 00:00:00 UTC,0.454204331,66813977852,8438594528
2024-12-09 00:00:00 UTC,0.466503091,68588817016,10403917176
2024-12-10 00:00:00 UTC,0.414031546,60872744859,14335180806
2024-12-11 00:00:00 UTC,0.393383708,57829765509,13688198758
2024-12-12 00:00:00 UTC,0.413908547,60886421742,7787776854
2024-12-13 00:00:00 UTC,0.406079649,59656770433,6855176847
2024-12-14 00:00:00 UTC,0.4075632,59931887272,4421977876
2024-12-15 00:00:00 UTC,0.397784513,58562956775,3714436683
2024-12-16 00:00:00 UTC,0.407203947,60052338854,3168913334
2024-12-17 00:00:00 UTC,0.402300226,59245588478,4670645497
2024-12-18 00:00:00 UTC,0.393670999,57984199497,3654751098
2024-12-19 00:00:00 UTC,0.358238496,52715240064,6424342444
2024-12-20 00:00:00 UTC,0.316221751,46669847343,10299588179
2024-12-21 00:00:00 UTC,0.317402308,46702363168,11908085963
2024-12-22 00:00:00 UTC,0.320435261,47111814565,6978901591
2024-12-23 00:00:00 UTC,0.311910963,46032119812,4326157082
2024-12-24 00:00:00 UTC,0.323401537,47643896690,4612068975
2024-12-25 00:00:00 UTC,0.337322006,49592447998,3228261463
2024-12-26 00:00:00 UTC,0.334477549,49291654807,2604485059
2024-12-27 00:00:00 UTC,0.311922116,45948623942,2625101366
2024-12-28 00:00:00 UTC,0.31116107,45826831934,2293373605
2024-12-29 00:00:00 UTC,0.323835216,47721013740,1538666440
2024-12-30 00:00:00 UTC,0.314983712,46402338136,1870842483
2024-12-31 00:00:00 UTC,0.313434276,46131966593,2707904119
2025-01-01 00:00:00 UTC,0.316157377,46574952050,2514890508
2025-01-02 00:00:00 UTC,0.324090126,47730291434,1620382475
2025-01-03 00:00:00 UTC,0.339021025,49968934586,3606534898
2025-01-04 00:00:00 UTC,0.37924191,55949132980,5419307373
2025-01-05 00:00:00 UTC,0.394713602,58179171592,4943690690
2025-01-06 00:00:00 UTC,0.382652832,56436326713,2911300930
2025-01-07 00:00:00 UTC,0.387798426,57165460311,3301153541
2025-01-08 00:00:00 UTC,0.349004214,51494199205,5262187979
2025-01-09 00:00:00 UTC,0.342459603,50630773319,4459666164
2025-01-10 00:00:00 UTC,0.32123156,47456774809,3686394496
2025-01-11 00:00:00 UTC,0.334187359,49340543580,3269124533
2025-01-12 00:00:00 UTC,0.341473126,50436513949,1480544588
2025-01-13 00:00:00 UTC,0.335823445,49524696077,1480721034
2025-01-14 00:00:00 UTC,0.338210907,49922840841,3781697203
2025-01-15 00:00:00 UTC,0.35639469,52610149482,3174234902
2025-01-16 00:00:00 UTC,0.38697448,57131408143,4356121533
2025-01-17 00:00:00 UTC,0.377652414,55743616778,4283602034
2025-01-18 00:00:00 UTC,0.414914259,61244297671,6526718817
2025-01-19 00:00:00 UTC,0.396422275,58536938749,6516773075
2025-01-20 00:00:00 UTC,0.357860962,53114100438,8685239181
2025-01-21 00:00:00 UTC,0.353584073,52298785127,8045403577
2025-01-22 00:00:00 UTC,0.371512414,54779528128,9146197049
2025-01-23 00:00:00 UTC,0.36320148,53654160594,2857875570
2025-01-24 00:00:00 UTC,0.352270199,52062251611,3050289093
2025-01-25 00:00:00 UTC,0.350574476,51740284667,2039182934
2025-01-26 00:00:00 UTC,0.354329652,52360301301,1469045353
2025-01-27 00:00:00 UTC,0.335923781,49680007303,1173608166
2025-01-28 00:00:00 UTC,0.333462811,49219227831,4457663416
2025-01-29 00:00:00 UTC,0.319046127,47097370342,1956202116
2025-01-30 00:00:00 UTC,0.324444304,48012616609,1934033691
2025-01-31 00:00:00 UTC,0.331229319,48955740101,1308041184
2025-02-01 00:00:00 UTC,0.328601188,48569151203,1721046774
2025-02-02 00:00:00 UTC,0.308276733,45592933620,1498500265
2025-02-03 00:00:00 UTC,0.264955135,39074055213,5297256819
2025-02-04 00:00:00 UTC,0.284744551,42112437796,10665819818
2025-02-05 00:00:00 UTC,0.264661296,39121648133,4185863884
2025-02-06 00:00:00 UTC,0.256309313,37875608482,1748873845
2025-02-07 00:00:00 UTC,0.247699403,36634998712,1849400953
2025-02-08 00:00:00 UTC,0.246611714,36425572489,1955547140
